,researchExp,industryExp,internExp,greV,greQ,journalPubs,confPubs,univName,year,targetRank,admit
215,0,0,2.0,147.0,165.0,0,0,Wayne State University,2015,150,1
216,0,0,0.0,150.0,155.0,0,0,Wayne State University,2011,150,1
217,0,0,0.0,140.0,155.0,0,0,Wayne State University,2015,150,1
219,0,0,0.0,143.0,158.0,0,0,Wayne State University,2014,150,1
220,0,0,0.0,139.0,158.0,0,0,Wayne State University,2012,150,1
221,0,0,0.0,142.0,160.0,0,0,Wayne State University,2013,150,1
222,0,0,0.0,145.0,159.0,0,0,Wayne State University,20133,150,1
224,0,0,0.0,146.0,157.0,0,0,Wayne State University,2012,150,1
225,0,0,0.0,150.0,151.0,0,0,Wayne State University,,150,1
226,0,0,0.0,147.0,152.0,0,0,Wayne State University,2013,150,1
227,0,0,0.0,166.0,159.0,0,0,Wayne State University,2013,150,1
228,0,0,0.0,155.0,162.0,0,0,Wayne State University,2013,150,1
229,0,0,0.0,149.0,163.0,0,0,Wayne State University,2015,150,1
230,0,0,0.0,153.0,163.0,0,0,Wayne State University,2011,150,1
231,0,0,0.0,140.0,159.0,0,0,Wayne State University,2014,150,1
232,0,0,0.0,150.0,161.0,0,0,Wayne State University,2013,150,1
233,0,0,0.0,150.0,142.0,0,0,Wayne State University,2014,150,1
234,0,0,0.0,138.0,157.0,0,0,Wayne State University,2011,150,1
235,0,0,0.0,142.0,148.0,0,0,Wayne State University,2014,150,1
236,0,0,0.0,139.0,156.0,0,0,Wayne State University,2013,150,1
237,0,0,0.0,141.0,152.0,0,0,Wayne State University,2013,150,1
238,0,0,0.0,144.0,157.0,0,0,Wayne State University,2009,150,1
240,0,0,0.0,146.0,156.0,0,0,Wayne State University,2013,150,1
241,0,0,0.0,140.0,147.0,0,0,Wayne State University,2013,150,1
242,0,0,0.0,140.0,159.0,0,0,Wayne State University,2012,150,1
243,0,0,0.0,145.0,154.0,0,0,Wayne State University,2014,150,1
244,0,0,0.0,149.0,158.0,0,0,Wayne State University,2013,150,1
245,0,0,0.0,147.0,160.0,0,0,Wayne State University,2013,150,1
246,53,53,3.0,148.0,152.0,0,0,Wayne State University,2015,150,1
247,0,0,0.0,147.0,153.0,0,0,Wayne State University,2012,150,1
249,0,0,2.0,151.0,151.0,0,0,Wayne State University,2015,150,1
250,0,0,0.0,146.0,162.0,0,0,Wayne State University,2013,150,1
251,0,0,0.0,150.0,155.0,0,0,Wayne State University,2015,150,1
252,0,12,0.0,149.0,161.0,0,0,Wayne State University,2015,150,1
254,0,0,0.0,149.0,160.0,0,0,Wayne State University,2015,150,1
255,0,0,0.0,142.0,154.0,0,0,Wayne State University,2013,150,1
256,0,0,0.0,152.0,154.0,0,0,Wayne State University,2014,150,1
257,0,0,0.0,144.0,152.0,2,2,Wayne State University,2015,150,1
258,0,50,0.0,149.0,151.0,0,0,Wayne State University,2015,150,1
259,0,0,0.0,146.0,160.0,0,0,Wayne State University,2012,150,1
261,0,18,0.0,141.0,156.0,1,1,Wayne State University,2014,150,1
262,0,0,3.0,145.0,162.0,1,3,Wayne State University,2015,150,1
263,0,0,0.0,145.0,158.0,0,0,Wayne State University,2014,150,1
264,0,27,3.0,143.0,159.0,0,0,Wayne State University,2015,150,1
265,0,0,0.0,143.0,159.0,0,0,Wayne State University,2013,150,1
266,6,0,0.0,143.0,159.0,0,0,Wayne State University,2015,150,1
267,0,0,0.0,138.0,155.0,0,0,Wayne State University,2015,150,1
268,0,0,0.0,145.0,159.0,0,0,Wayne State University,2013,150,1
269,0,23,0.0,139.0,157.0,0,0,Wayne State University,2014,150,1
270,0,0,0.0,157.0,154.0,0,0,Wayne State University,2014,150,1
271,17,0,5.0,154.0,169.0,0,1,Wayne State University,2015,150,1
272,0,0,0.0,149.0,151.0,0,0,Wayne State University,2013,150,1
273,0,42,0.0,161.0,160.0,0,0,Wayne State University,2014,150,1
274,24,24,12.0,165.0,158.0,0,0,Wayne State University,2007,150,1
275,0,0,0.0,156.0,164.0,0,0,Wayne State University,2006,150,1
